,ts_code,symbol,name,area,industry,market,list_date
1026,300240.SZ,300240,飞力达,江苏,仓储物流,创业板,20110706
1027,300241.SZ,300241,瑞丰光电,深圳,半导体,创业板,20110712
1028,300242.SZ,300242,佳云科技,广东,互联网,创业板,20110712
1029,300243.SZ,300243,瑞丰高材,山东,化工原料,创业板,20110712
1030,300245.SZ,300245,天玑科技,上海,软件服务,创业板,20110719
1031,300246.SZ,300246,宝莱特,广东,医疗保健,创业板,20110719
1032,300247.SZ,300247,融捷健康,安徽,医疗保健,创业板,20110729
1033,300248.SZ,300248,新开普,河南,软件服务,创业板,20110729
1034,300249.SZ,300249,依米康,四川,软件服务,创业板,20110803
1035,300250.SZ,300250,初灵信息,浙江,软件服务,创业板,20110803
1036,300252.SZ,300252,金信诺,深圳,通信设备,创业板,20110818
1037,300254.SZ,300254,仟源医药,山西,化学制药,创业板,20110819
1038,300256.SZ,300256,*ST星星,江西,元器件,创业板,20110819
1039,300258.SZ,300258,精锻科技,江苏,汽车配件,创业板,20110826
1040,300259.SZ,300259,新天科技,河南,电器仪表,创业板,20110831
1041,300261.SZ,300261,雅本化学,江苏,农药化肥,创业板,20110906
1042,300262.SZ,300262,巴安水务,上海,水务,创业板,20110916
1043,300264.SZ,300264,佳创视讯,深圳,软件服务,创业板,20110916
1044,300265.SZ,300265,通光线缆,江苏,电气设备,创业板,20110916
1045,300268.SZ,300268,佳沃食品,湖南,农业综合,创业板,20110927
1046,300269.SZ,300269,ST联建,深圳,半导体,创业板,20111012
